name,City,Country,Latitude,Longitude,awardYear,category,motivation,prizeAmount,birthYear,birthMonth,birthDay
John R. Hicks,Warwick,United Kingdom,52.28,-1.59,1972,Economic Sciences,for their pioneering contributions to general economic equilibrium theory and welfare theory,480000,1904,4,8
John Raleigh Mott,"Livingston Manor, NY",USA,41.90036,-74.828217,1946,Peace,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,121524,1865,5,25
John R. Vane,Tardebigg,United Kingdom,52.321944,-2.006944,1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,1150000,1927,3,29
John Steinbeck,"Salinas, CA",USA,36.677778,-121.655556,1962,Literature,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",257220,1902,2,27
Jon Fosse,Haugesund,Norway,59.41015,5.275511,2023,Literature,for his innovative plays and prose which give voice to the unsayable,11000000,1959,9,29
José Echegaray y Eizaguirre,Madrid,Spain,40.423203,-3.693965,1904,Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",140859,1832,4,19
José Ramos-Horta,Dili,East Timor,-8.553681,125.578407,1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor,7400000,1949,12,26
José Saramago,Azinhaga,Portugal,39.349922,-8.532817,1998,Literature,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",7600000,1922,11,16
Joseph Brodsky,Leningrad,USSR,59.956651,30.333547,1987,Literature,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",2175000,1940,5,24
Joseph E. Murray,"Milford, MA",USA,42.360252,-71.058289,1990,Physiology or Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,4000000,1919,4,1
Joseph E. Stiglitz,"Gary, IN",USA,41.580833,-87.345556,2001,Economic Sciences,for their analyses of markets with asymmetric information,10000000,1943,2,9
Joseph Erlanger,"San Francisco, CA",USA,37.774498,-122.429706,1944,Physiology or Medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres,121841,1874,1,5
Joseph H. Taylor Jr.,"Philadelphia, PA",USA,39.957132,-75.174342,1993,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",6700000,1941,3,29
Joseph L. Goldstein,"Sumter, SC",USA,33.956333,-80.395676,1985,Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism,1800000,1940,4,18
Joseph Rotblat,Warsaw,Russian Empire,52.230046,21.011995,1995,Peace,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",7200000,1908,11,4
Joshua D. Angrist,"Columbus, OH",USA,39.962222,-83.000556,2021,Economic Sciences,for their methodological contributions to the analysis of causal relationships,10000000,1960,9,18
Joshua Lederberg,"Montclair, NJ",USA,40.82593,-74.20903,1958,Physiology or Medicine,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,214559,1925,5,23
Juan Manuel Santos,Bogotá,Colombia,4.653465,-74.083649,2016,Peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,8000000,1951,8,10
Juan Ramón Jiménez,Moguer,Spain,37.274772,-6.837103,1956,Literature,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",200123,1881,12,24
Jules A. Hoffmann,Echternach,Luxembourg,49.812096,6.421486,2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity,10000000,1941,8,2
Jules Bordet,Soignies,Belgium,50.846558,4.351697,1919,Physiology or Medicine,for his discoveries relating to immunity,133127,1870,6,13
Julian Schwinger,"New York, NY",USA,40.715758,-74.0113,1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",282000,1918,2,12
Julius Axelrod,"New York, NY",USA,40.715758,-74.0113,1970,Physiology or Medicine,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",400000,1912,5,30
Julius Wagner-Jauregg,Wels,Austria,48.15,14.016667,1927,Physiology or Medicine,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,126501,1857,3,7
K. Alexander Müller,Basel,Switzerland,47.560153,7.58788,1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials,2175000,1927,4,20
K. Barry Sharpless,"Philadelphia, PA",USA,39.957132,-75.174342,2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,10000000,1941,4,28
Kai M. Siegbahn,Lund,Sweden,55.708313,13.199164,1981,Physics,for his contribution to the development of high-resolution electron spectroscopy,1000000,1918,4,20
Kailash Satyarthi,Vidisha,India,23.520813,77.80632,2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,8000000,1954,1,11
Karl Adolph Gjellerup,Roholte,Denmark,55.195,12.09,1917,Literature,"for his varied and rich poetry, which is inspired by lofty ideals",133823,1857,6,2
Karl Landsteiner,Vienna,Austrian Empire,48.207646,16.372793,1930,Physiology or Medicine,for his discovery of human blood groups,172947,1868,6,14
Karl von Frisch,Vienna,Austria,48.207646,16.372793,1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,510000,1886,11,20
Karl Ziegler,Helsa,Germany,51.226667,9.671667,1963,Chemistry,for their discoveries in the field of the chemistry and technology of high polymers,265000,1898,11,26
Kary B. Mullis,"Lenoir, NC",USA,35.908333,-81.53,1993,Chemistry,for his invention of the polymerase chain reaction (PCR) method,6700000,1944,12,28
Katalin Karikó,Szolnok,Hungary,47.174722,20.176389,2023,Physiology or Medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,11000000,1955,1,17
Kazuo Ishiguro,Nagasaki,Japan,32.75016,129.878098,2017,Literature,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",9000000,1954,11,8
Haldan Keffer Hartline,"Bloomsburg, PA",USA,41.0025,-76.458056,1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye,320000,1903,12,22
Kenichi Fukui,Nara,Japan,34.685194,135.832944,1981,Chemistry,"for their theories, developed independently, concerning the course of chemical reactions",1000000,1918,10,4
Kenneth G. Wilson,"Waltham, MA",USA,42.380556,-71.235,1982,Physics,for his theory for critical phenomena in connection with phase transitions,1150000,1936,6,8
Kenneth J. Arrow,"New York, NY",USA,40.715758,-74.0113,1972,Economic Sciences,for their pioneering contributions to general economic equilibrium theory and welfare theory,480000,1921,8,23
Kenzaburo Oe,Uchiko,Japan,33.533028,132.658278,1994,Literature,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",7000000,1935,1,31
Kim Dae-jung,Mokpo,Korea,34.801655,126.39814,2000,Peace,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",9000000,1925,12,3
Kip S. Thorne,"Logan, UT",USA,41.731346,-111.834862,2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,9000000,1940,6,1
Klas Pontus Arnoldson,Gothenburg,Sweden,57.707168,12.003677,1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",139800,1844,10,27
Klaus Hasselmann,Hamburg,Germany,53.548276,9.987422,2021,Physics,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",10000000,1931,10,25
Klaus von Klitzing,Schroda,German-occupied Poland,52.233333,17.283333,1985,Physics,for the discovery of the quantized Hall effect,1800000,1943,6,28
Knut Pedersen Hamsun,Lom,Norway,61.839236,8.565864,1920,Literature,"for his monumental work, <I>Growth of the Soil</I>",134100,1859,8,4
Kofi Atta Annan,Kumasi,Gold Coast,6.7,-1.625,2001,Peace,for their work for a better organized and more peaceful world,10000000,1938,4,8
Koichi Tanaka,Toyama City,Japan,36.695572,137.213547,2002,Chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,10000000,1959,8,3
Konrad Bloch,Neisse,Germany,50.471389,17.333889,1964,Physiology or Medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,273000,1912,1,21
Konrad Lorenz,Vienna,Austria,48.207646,16.372793,1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,510000,1903,11,7
Konstantin Novoselov,Nizhny Tagil,Russia,57.905148,59.950848,2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,10000000,1974,8,23
Kurt Alder,Königshütte,Prussia,50.3,18.95,1950,Chemistry,for their discovery and development of the diene synthesis,164304,1902,7,10
Kurt Wüthrich,Aarberg,Switzerland,46.949654,7.442427,2002,Chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,10000000,1938,10,4
Lars Onsager,Kristiania,Norway,59.917165,10.750092,1968,Chemistry,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",350000,1903,11,27
Lars Peter Hansen,"Urbana, IL",USA,40.110863,-88.206265,2013,Economic Sciences,for their empirical analysis of asset prices,8000000,1952,10,26
William Lawrence Bragg,Adelaide,Australia,-34.92694,138.598792,1915,Physics,for their services in the analysis of crystal structure by means of X-rays,149223,1890,3,31
Lawrence R. Klein,"Omaha, NE",USA,41.258611,-95.9375,1980,Economic Sciences,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,880000,1920,9,14
Le Duc Tho ,Nam Ha province,Vietnam,20.533333,105.966667,1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973,510000,1911,10,14
Lech Walesa,Popowo,Poland,52.7,19.4075,1983,Peace,for non-violent struggle for free trade unions and human rights in Poland,1500000,1943,9,29
Leland H. Hartwell,"Los Angeles, CA",USA,34.062144,-118.225001,2001,Physiology or Medicine,for their discoveries of key regulators of the cell cycle,10000000,1939,10,30
Leo Esaki,Osaka,Japan,34.693756,135.50145,1973,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",510000,1925,3,12
Léon Victor Auguste Bourgeois,Paris,France,48.860093,2.355954,1920,Peace,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,134100,1851,5,21
Léon Jouhaux,Paris,France,48.860093,2.355954,1951,Peace,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,167612,1879,7,1
Leon M. Lederman,"New York, NY",USA,40.715758,-74.0113,1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,2500000,1922,7,15
Leon Neil Cooper,"New York, NY",USA,40.715758,-74.0113,1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory",480000,1930,2,28
Leonid Hurwicz,Moscow,Russia,55.741387,37.618892,2007,Economic Sciences,for having laid the foundations of mechanism design theory,10000000,1917,8,21
Leonid Vitaliyevich Kantorovich,St. Petersburg,Russian Empire,59.956651,30.333547,1975,Economic Sciences,for their contributions to the theory of optimum allocation of resources,630000,1912,1,19
Leopold Ruzicka,Vukovar,Austria-Hungary,45.345576,19.000574,1939,Chemistry,for his work on polymethylenes and higher terpenes,148822,1887,9,13
Lester Bowles Pearson,Toronto,Canada,43.654211,-79.384956,1957,Peace,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,208629,1897,4,23
Lev Davidovich Landau,Baku,Russian Empire,40.366656,49.835183,1962,Physics,"for his pioneering theories for condensed matter, especially liquid helium",257220,1908,1,22
Leymah Gbowee,Monrovia,Liberia,6.297724,-10.779029,2011,Peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,10000000,1972,2,1
Linda B. Buck,"Seattle, WA",USA,47.611072,-122.355118,2004,Physiology or Medicine,for their discoveries of odorant receptors and the organization of the olfactory system,10000000,1947,1,29
Linus Carl Pauling,"Portland, OR",USA,45.516667,-122.666667,1954,Chemistry,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,181647,1901,2,28
Liu Xiaobo,Changchun,China,43.9,125.2,2010,Peace,for his long and non-violent struggle for fundamental human rights in China,10000000,1955,12,28
Lloyd S. Shapley,"Cambridge, MA",USA,42.374024,-71.107306,2012,Economic Sciences,for the theory of stable allocations and the practice of market design,8000000,1923,6,2
"John Boyd Orr, Baron Boyd-Orr of Brechin Mearn",Kilmaurs,Scotland,55.639131,-4.528094,1949,Peace,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",156290,1880,9,23
Lord Rayleigh (John William Strutt),"Langford Grove, Maldon, Essex",United Kingdom,52.398964238095246,-1.3251654761904763,1904,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,140859,1842,11,12
Lord (Alexander R.) Todd,Glasgow,Scotland,55.861111,-4.25,1957,Chemistry,for his work on nucleotides and nucleotide co-enzymes,208629,1907,10,2
Louis E. Brus,"Cleveland, OH",USA,41.496386,-81.710675,2023,Chemistry,for the discovery and synthesis of quantum dots,11000000,1943,0,0
Prince Louis-Victor Pierre Raymond de Broglie,Dieppe,France,49.925,1.075,1929,Physics,for his discovery of the wave nature of electrons,172760,1892,8,15
Louis J. Ignarro,"Brooklyn, NY",USA,40.676379,-73.949819,1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,7600000,1941,5,31
Louis Eugène Félix Néel,Lyon,France,45.758889,4.841389,1970,Physics,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,400000,1904,11,22
Louis Renault,Autun,France,46.951111,4.298611,1907,Peace,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,138796,1843,5,21
Louise Glück,"New York, NY",USA,40.715758,-74.0113,2020,Literature,for her unmistakable poetic voice that with austere beauty makes individual existence universal,10000000,1943,4,22
Luc Montagnier,Chabris,France,47.255,1.653333,2008,Physiology or Medicine,for their discovery of human immunodeficiency virus,10000000,1932,8,18
Ludwig Quidde,Bremen,Germany,53.076944,8.808889,1927,Peace,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,126501,1858,3,23
Luigi Pirandello,"Agrigento, Sicily",Italy,37.311075,13.576547,1934,Literature,for his bold and ingenious revival of dramatic and scenic art,162608,1867,6,28
Luis Walter Alvarez,"San Francisco, CA",USA,37.774498,-122.429706,1968,Physics,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",350000,1911,6,13
Luis F. Leloir,Paris,France,48.860093,2.355954,1970,Chemistry,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates,400000,1906,9,6
M. Stanley Whittingham,Nottingham,United Kingdom,52.398964238095246,-1.3251654761904763,2019,Chemistry,for the development of lithium-ion batteries,9000000,1941,12,22
Mairead Corrigan,Belfast,Northern Ireland,54.596439,-5.930276,1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,681000,1944,1,27
Makoto Kobayashi,Nagoya,Japan,35.180679,136.918749,2008,Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,10000000,1944,4,7
Malala Yousafzai,Mingora,Pakistan,34.771667,72.36,2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,8000000,1997,7,12
Manfred Eigen,Bochum,Germany,51.483333,7.216667,1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",320000,1927,5,9
Karl Manne Georg Siegbahn,Örebro,Sweden,59.266926,15.196522,1924,Physics,for his discoveries and research in the field of X-ray spectroscopy,116719,1886,12,3
Maria Goeppert Mayer,Kattowitz,Germany,50.25,19.0,1963,Physics,for their discoveries concerning nuclear shell structure,265000,1906,6,28
Maria Ressa,Manila,Philippines,14.594892,120.978264,2021,Peace,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",10000000,1963,10,2
"Marie Curie, née Sklodowska",Warsaw,Russian Empire,52.230046,21.011995,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",140695,1867,11,7
Mario J. Molina,Mexico City,Mexico,19.431956,-99.134606,1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",7200000,1943,3,19
Mario R. Capecchi,Verona,Italy,45.438496,10.992412,2007,Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,10000000,1937,10,6
Mario Vargas Llosa,Arequipa,Peru,-16.398867,-71.536964,2010,Literature,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",10000000,1936,3,28
Marshall W. Nirenberg,"New York, NY",USA,40.715758,-74.0113,1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis,350000,1927,4,10
Martin Chalfie,"Chicago, IL",USA,41.876228,-87.638416,2008,Chemistry,"for the discovery and development of the green fluorescent protein, GFP",10000000,1947,1,15
Martin Karplus,Vienna,Austria,48.207646,16.372793,2013,Chemistry,for the development of multiscale models for complex chemical systems,8000000,1930,3,15
Martin L. Perl,"New York, NY",USA,40.715758,-74.0113,1995,Physics,for the discovery of the tau lepton,7200000,1927,6,24
Martin Luther King Jr.,"Atlanta, GA",USA,33.747848,-84.390614,1964,Peace,for his non-violent struggle for civil rights for the Afro-American population,273000,1929,1,15
Martin Rodbell,"Baltimore, MD",USA,39.291586,-76.625305,1994,Physiology or Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,7000000,1925,12,1
Sir Martin Ryle,Brighton,United Kingdom,50.82442,-0.143821,1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",550000,1918,9,27
Martinus J.G. Veltman,Waalwijk,the Netherlands,51.683333,5.066667,1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,7900000,1931,6,27
Martti Ahtisaari,Viipuri,Finland,60.709217,28.744051,2008,Peace,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",10000000,1937,6,23
Masatoshi Koshiba,Toyohashi,Japan,34.769167,137.391528,2002,Physics,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",10000000,1926,9,19
Maurice Allais,Paris,France,48.860093,2.355954,1988,Economic Sciences,for his pioneering contributions to the theory of markets and efficient utilization of resources,2500000,1911,5,31
Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,Ghent,Belgium,51.04699,3.735154,1911,Literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",140695,1862,8,29
Maurice Hugh Frederick Wilkins,Pongaroa,New Zealand,-40.544518,176.190327,1962,Physiology or Medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,257220,1916,12,15
Max Born,Breslau,Germany,51.11,17.0325,1954,Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",181647,1882,12,11
Max Delbrück,Berlin,Germany,52.522265,13.406852,1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,375000,1906,9,4
Max Ferdinand Perutz,Vienna,Austria,48.207646,16.372793,1962,Chemistry,for their studies of the structures of globular proteins,257220,1914,5,19
Max Karl Ernst Ludwig Planck,Kiel,Schleswig,54.323168,10.121556,1918,Physics,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,138198,1858,4,23
Max Theiler,Pretoria,South Africa,-25.746389,28.188056,1951,Physiology or Medicine,for his discoveries concerning yellow fever and how to combat it,167612,1899,1,30
Max von Laue,Pfaffendorf,Germany,50.90027376623377,11.135752545454546,1914,Physics,for his discovery of the diffraction of X-rays by crystals,146900,1879,10,9
May-Britt Moser,Fosnavåg,Norway,62.341667,5.633889,2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,8000000,1963,1,4
Melvin Calvin,"St. Paul, MN",USA,44.944167,-93.093611,1961,Chemistry,for his research on the carbon dioxide assimilation in plants,250233,1911,4,8
Melvin Schwartz,"New York, NY",USA,40.715758,-74.0113,1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,2500000,1932,11,2
Menachem Begin,Brest Litovsk,Russian Empire,52.099275,23.766053,1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978,725000,1913,8,16
Merton H. Miller,"Boston, MA",USA,42.36042,-71.05681,1990,Economic Sciences,for their pioneering work in the theory of financial economics,4000000,1923,5,16
Michael Houghton,Dulwich,United Kingdom,52.398964238095246,-1.3251654761904763,2020,Physiology or Medicine,for the discovery of Hepatitis C virus,10000000,1949,0,0
Michael Kremer,"New York, NY",USA,40.715758,-74.0113,2019,Economic Sciences,for their experimental approach to alleviating global poverty,9000000,1964,11,12
Michael Levitt,Pretoria,South Africa,-25.746389,28.188056,2013,Chemistry,for the development of multiscale models for complex chemical systems,8000000,1947,5,9
Michael Rosbash,"Kansas City, MO",USA,39.100105,-94.57814,2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,9000000,1944,3,7
Michael S. Brown,"New York, NY",USA,40.715758,-74.0113,1985,Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism,1800000,1941,4,13
Michael Smith,Blackpool,United Kingdom,53.816788,-3.037077,1993,Chemistry,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",6700000,1932,4,26
Michael W. Young,"Miami, FL",USA,25.64809,-80.426262,2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,9000000,1949,3,28
Michel Mayor,Lausanne,Switzerland,46.533333,6.633333,2019,Physics,for the discovery of an exoplanet orbiting a solar-type star,9000000,1942,1,12
Miguel Angel Asturias,Guatemala City,Guatemala,14.609861,-90.52525,1967,Literature,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",320000,1899,10,19
Mikhail Sergeyevich Gorbachev,Privolnoye,USSR,45.9175,41.307222,1990,Peace,for the leading role he played in the radical changes in East-West relations,4000000,1931,3,2
Mikhail Aleksandrovich Sholokhov,Veshenskaya,Russia,49.628994,41.725105,1965,Literature,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",282000,1905,5,24
Milton Friedman,"Brooklyn, NY",USA,40.676379,-73.949819,1976,Economic Sciences,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",681000,1912,7,31
Mo Yan,Gaomi,China,36.365406,119.800537,2012,Literature,"who with hallucinatory realism merges folk tales, history and the contemporary",8000000,1956,3,25
Mohamed ElBaradei,Cairo,Egypt,30.044388,31.235725,2005,Peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,10000000,1942,6,17
Morten Meldal,Copenhagen,Denmark,55.678127,12.572532,2022,Chemistry,for the development of click chemistry and bioorthogonal chemistry,10000000,1954,0,0
Mother Teresa,Uskup,Ottoman Empire,41.996111,21.431667,1979,Peace,for her work for bringing help to suffering humanity,800000,1910,8,26
Moungi G. Bawendi,Paris,France,48.860093,2.355954,2023,Chemistry,for the discovery and synthesis of quantum dots,11000000,1961,0,0
Muhammad Yunus,Chittagong,British India,22.336472,91.82605,2006,Peace,for their efforts to create economic and social development from below,10000000,1940,6,28
Murray Gell-Mann,"New York, NY",USA,40.715758,-74.0113,1969,Physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions,375000,1929,9,15
Myron S. Scholes,"Timmins, ON",Canada,48.474519,-81.33346,1997,Economic Sciences,for a new method to determine the value of derivatives,7500000,1941,7,1
Nadia Murad Basee Taha,Kojo,Iraq,36.179036,41.911312,2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,9000000,1993,0,0
Nadine Gordimer,Springs,South Africa,-26.254722,28.442778,1991,Literature,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,6000000,1923,11,20
Naguib Mahfouz,Cairo,Egypt,30.044388,31.235725,1988,Literature,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",2500000,1911,12,11
Narges Mohammadi,Zanjan,Iran,36.666667,48.483333,2023,Peace,for her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,11000000,1972,4,21
Lars Olof Jonathan (Nathan) Söderblom,Trönö,Sweden,61.394789,16.836136,1930,Peace,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',172947,1866,1,15
Nelly Sachs,Berlin,Germany,52.522265,13.406852,1966,Literature,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",300000,1891,12,10
Nelson Rolihlahla Mandela,Qunu,South Africa,-31.783333,28.616667,1993,Peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",6700000,1918,7,18
Nicholas Murray Butler,"Elizabeth, NJ",USA,40.662222,-74.209167,1931,Peace,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,173206,1862,4,2
Nicolaas Bloembergen,Dordrecht,the Netherlands,51.813496,4.689689,1981,Physics,for their contribution to the development of laser spectroscopy,1000000,1920,3,11
Nicolay Gennadiyevich Basov,Usman,USSR,52.05,39.733333,1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",273000,1922,12,14
Niels Henrik David Bohr,Copenhagen,Denmark,55.678127,12.572532,1922,Physics,for his services in the investigation of the structure of atoms and of the radiation emanating from them,122483,1885,10,7
Niels K. Jerne,London,United Kingdom,51.510235,-0.120852,1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,1650000,1911,12,23
Niels Ryberg Finsen,Thorshavn,Faroe Islands (Denmark),62.010863,-6.774051,1903,Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",141358,1860,12,15
Nikolaas Tinbergen,the Hague,the Netherlands,52.070359,4.300254,1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,510000,1907,4,15
Nikolay Nikolaevich Semenov,Saratov,Russia,51.533333,46.0,1956,Chemistry,for their researches into the mechanism of chemical reactions,200123,1896,4,3
Norman Ernest Borlaug,"Cresco, IA",USA,43.374444,-92.115,1970,Peace,for having given a well-founded hope - the green revolution,400000,1914,3,25
Norman F. Ramsey,"Washington, D.C.",USA,38.899065,-77.036523,1989,Physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,3000000,1915,8,27
Walter Norman Haworth,Chorley,United Kingdom,53.653056,-2.631944,1937,Chemistry,for his investigations on carbohydrates and vitamin C,158463,1883,3,19
Octavio Paz,Mexico City,Mexico,19.431956,-99.134606,1990,Literature,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",4000000,1914,3,31
Odd Hassel,Kristiania,Norway,59.917165,10.750092,1969,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry,375000,1897,5,17
Odysseus Elytis,Iráklion,Crete,35.340278,25.134444,1979,Literature,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",800000,1911,11,2
Olga Tokarczuk,Sulechów,Poland,52.092648,15.618116,2018,Literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,9000000,1962,1,29
Oliver E. Williamson,"Superior, WI",USA,46.720776,-92.10408,2009,Economic Sciences,"for his analysis of economic governance, especially the boundaries of the firm",10000000,1932,9,27
Oliver Hart,London,United Kingdom,51.510235,-0.120852,2016,Economic Sciences,for their contributions to contract theory,8000000,1948,10,9
